,State,City,Population,Violent Crime,Murder,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Total
880,California,Porterville,55533,360.1,5.4,18,113.4,223.3,3253.9,1071.4,1825.9,356.5,7204.5
881,New York,Poughkeepsie Town,42698,126.5,0,4.7,60.9,60.9,3248.4,199.1,3023.6,25.8,6745.2
882,California,Poway,48968,192.0,0,12.3,55.1,124.6,1141.6,279.8,794.4,67.4,2654.9
883,Arizona,Prescott,40420,415.6,4.9,34.6,47.0,329.0,2731.3,487.4,2184.6,59.4,6254.299999999999
884,Illinois,Quincy,40684,462.1,0,63.9,39.3,358.9,3205.2,550.6,2590.7,63.9,7270.7
885,California,Rancho Palos Verdes,42335,82.7,0,2.4,14.2,66.1,1176.3,394.5,722.8,59.1,2515.7
886,California,Rancho Santa Margarita,49038,55.1,0,4.1,20.4,30.6,650.5,140.7,489.4,20.4,1407.1
887,Washington,Redmond,55770,64.6,0,14.3,19.7,30.5,2137.3,308.4,1741.1,87.9,4389.5
888,Massachusetts,Revere,52926,508.3,1.9,22.7,136.0,347.7,2352.3,434.6,1594.7,323.1,5696.700000000001
889,Washington,Richland,50057,163.8,0,40,22.0,101.9,2537.1,373.6,2035.7,127.9,5362.0
890,California,Rocklin,58865,83.2,0,8.5,27.2,47.6,1557.8,412.8,1039.7,105.3,3273.6000000000004
891,North Carolina,Rocky Mount,58002,1291.3,13.8,22.4,220.7,1034.4,5832.6,1803.4,3779.2,250.0,14211.599999999999
892,Arkansas,Rogers,57757,349.7,0,74.4,19.0,256.2,3620.3,626.8,2900.1,93.5,7865.6
893,California,Rohnert Park,41716,460.3,2.4,26.4,50.3,381.1,1845.8,268.5,1435.9,141.4,4583.299999999999
894,California,Rosemead,54656,261.6,0,7.3,98.8,155.5,1670.4,336.7,934.9,398.9,3856.8
895,Michigan,Roseville,47400,478.9,0,67.5,124.5,286.9,4082.3,592.8,3061.2,428.3,9054.9
896,New Mexico,Roswell,48623,629.3,16.5,57.6,86.4,468.9,5378.1,1135.3,4088.6,154.2,11940.800000000001
897,Texas,Rowlett,58324,121.7,0,29.1,15.4,77.2,1726.6,378.9,1272.2,75.4,3667.4
898,Michigan,Royal Oak,57649,124.9,0,15.6,20.8,88.5,1748.5,310.5,1287.1,150.9,3731.2
899,Michigan,Saginaw Township,40642,209.1,2.5,14.8,81.2,110.7,2017.6,292.8,1668.2,56.6,4436.200000000001
900,Michigan,Saginaw,51267,2362.1,52.7,126.8,325.7,1856.9,3442.8,2032.5,1205.5,204.8,11430.3
901,Massachusetts,Salem,42025,378.3,0,16.7,40.5,321.2,2272.5,352.2,1794.2,126.1,5285.0
902,Kansas,Salina,48155,334.3,2.1,39.5,47.8,245.0,4886.3,924.1,3740.0,222.2,10399.7
903,Washington,Sammamish,47158,33.9,0,14.8,2.1,17.0,727.3,231.1,468.6,27.6,1507.6
904,California,San Bruno,42002,202.4,0,26.2,69.0,107.1,2288.0,304.7,1642.8,340.5,4954.5
905,California,San Gabriel,40376,218.0,0,7.4,84.2,126.3,1362.2,354.2,856.9,151.1,3152.9
906,California,San Jacinto,45637,300.2,6.6,11,111.8,170.9,3240.8,922.5,1891.0,427.3,7064.500000000001
907,California,San Luis Obispo,45947,259.0,2.2,43.5,41.4,171.9,4289.7,901.0,3212.4,176.3,9051.699999999999
908,Texas,San Marcos,47384,346.1,2.1,57,59.1,227.9,3285.9,533.9,2526.2,225.8,7204.9
909,California,San Rafael,58854,324.5,0,23.8,142.7,158.0,3032.9,611.7,1923.4,497.8,6691.000000000001
910,Florida,Sanford,54662,590.9,5.5,38.4,303.7,243.3,5422.4,1503.8,3633.2,285.4,11982.699999999999
911,California,Santee,54700,281.5,3.7,16.5,54.8,206.6,2027.4,334.6,1451.6,241.3,4597.8
912,Florida,Sarasota,53055,801.1,7.5,47.1,256.3,490.1,5460.4,1328.8,3945.0,186.6,12468.3
913,New Jersey,Sayreville,43151,88.1,2.3,2.3,27.8,55.6,1341.8,296.6,980.3,64.9,2855.1
914,Wisconsin,Sheboygan,49261,345.1,8.1,38.6,42.6,255.8,3079.5,531.9,2460.4,87.3,6802.599999999999
915,Connecticut,Shelton,40062,54.9,0,17.5,30.0,7.5,1078.3,334.5,661.5,82.4,2249.1
916,Washington,Shoreline,54574,181.4,5.5,42.1,75.1,58.6,3030.7,809.9,2021.1,199.7,6376.499999999999
917,Arizona,Sierra Vista,46612,278.9,0,51.5,60.1,167.3,3306.0,527.8,2610.9,167.3,7118.3
918,Georgia,Smyrna,52537,306.5,5.7,22.8,129.4,148.5,2649.6,696.7,1709.3,243.6,5883.6
919,Tennessee,Smyrna,41284,256.8,4.8,29.1,50.9,172.0,2390.8,327.0,1942.6,121.1,5261.200000000001
920,New Jersey,South Brunswick Township,43875,77.5,0,4.6,16.0,57.0,1180.6,246.2,847.9,86.6,2511.7999999999997
921,Utah,South Jordan,52071,44.2,0,7.7,19.2,17.3,1976.1,332.2,1530.6,113.3,4032.8999999999996
922,New York,Southampton Town,50256,127.3,0,6,29.8,91.5,1999.8,435.8,1440.6,123.4,4248.2
923,Mississippi,Southaven,49938,292.4,0,48.1,44.1,200.2,2653.3,378.5,2158.7,116.1,5843.3
924,Connecticut,Southington,43219,64.8,2.3,11.6,25.5,25.5,1737.7,300.8,1353.6,83.3,3591.2000000000003
925,Michigan,St. Clair Shores,59841,252.3,0,33.4,21.7,197.2,1980.2,469.6,1361.9,148.7,4431.599999999999
926,Minnesota,St. Louis Park,46176,,0,,34.7,32.5,3226.8,534.9,2581.4,110.4,6520.7
927,Missouri,St. Peters,53364,223.0,0,11.2,26.2,185.5,2602.9,213.6,2340.5,48.7,5640.4
928,Pennsylvania,State College,57020,92.9,1.8,19.3,21.0,50.9,1380.2,201.7,1154.0,24.6,2925.2999999999997
929,Oklahoma,Stillwater,46331,261.2,2.2,51.8,45.3,161.9,3175.0,561.2,2490.8,123.0,6818.400000000001
930,Connecticut,Stratford,52041,199.8,0,28.8,53.8,117.2,2715.2,470.8,2056.1,188.3,5801.2
931,Illinois,Streamwood,40050,84.9,0,15,27.5,42.4,1755.3,307.1,1418.2,30.0,3665.3999999999996
932,Ohio,Strongsville,44397,29.3,0,13.5,11.3,4.5,1792.9,186.9,1576.7,29.3,3630.9000000000005
933,South Carolina,Summerville,45209,183.6,4.4,4.4,70.8,104.0,2917.6,424.7,2260.6,232.3,6193.599999999999
934,South Carolina,Sumter,40911,985.1,17.1,19.6,158.9,789.5,5248.0,1464.2,3444.1,339.8,12429.6
935,Massachusetts,Taunton,56438,474.9,0,31.9,109.9,333.1,1507.8,673.3,774.3,60.2,3933.5
936,New Jersey,Teaneck Township,40230,139.2,0,0,72.1,67.1,1456.6,298.3,1098.7,59.7,3191.7
937,Texas,Texas City,46448,318.6,4.3,23.7,109.8,180.8,3660.0,764.3,2751.5,144.2,7929.2
938,Oregon,Tigard,49359,135.7,2,18.2,72.9,42.5,3478.6,441.7,2933.6,103.3,7208.3
939,Illinois,Tinley Park,56992,75.4,1.8,10.5,19.3,43.9,1472.1,189.5,1245.8,36.8,3082.8
940,Florida,Titusville,44374,662.6,9,58.6,173.5,421.4,3977.6,1169.6,2255.8,552.1,9212.6
941,New York,Tonawanda Town,58393,202.1,1.7,20.6,54.8,125.0,1834.1,339.1,1452.2,42.8,4050.1000000000004
942,New York,Troy,50391,664.8,13.9,29.8,220.3,400.9,4707.2,1176.8,3328.0,202.4,10700.4
943,Idaho,Twin Falls,44866,376.7,0,44.6,37.9,294.2,2817.3,461.4,2231.1,124.8,6343.400000000001
944,Ohio,"Union Township, Clermont County",46833,76.9,2.1,19.2,36.3,19.2,3529.6,493.2,2961.6,74.7,7191.499999999999
945,New Jersey,Union Township,57234,138.0,0,8.7,76.9,52.4,1864.3,298.8,1341.9,223.6,3995.9
946,Illinois,Urbana,41537,356.3,0,48.1,163.7,144.4,3474.0,1001.5,2344.9,127.6,7612.4
947,Iowa,Urbandale,40467,140.9,0,7.4,4.9,128.5,1700.2,264.4,1354.2,81.5,3674.6000000000004
948,Georgia,Valdosta,56617,438.0,5.3,67.1,155.4,210.2,4104.8,1156.9,2811.9,136.0,9013.199999999999
